Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
161956,Cahier d'un retour au pays natal,Aimé Césaire,"Césaire, Aimé",,"=""""","=""""",0,4.13,Presence Africaine,Paperback,93,2000,1939,,2021/02/08,to-read,to-read (#39),to-read,,,,0,,,0,,,,,
29579,"Foundation (Foundation, #1)",Isaac Asimov,"Asimov, Isaac",,"=""0553803719""","=""9780553803716""",5,4.18,Bantam,Hardcover,244,2004,1951,2021/06/01,2021/06/01,,,read,,,,1,,,0,,,,,
18488,"Frankenstein, or the Modern Prometheus",Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",Margaret Brantley,"=""0743487583""","=""9780743487580""",4,3.83,Pocket Books,Mass Market Paperback,324,2004,1818,2021/05/27,2021/05/13,,,read,,,,1,,,0,,,,,
966835,The Last Man,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",,"=""0192838652""","=""9780192838650""",0,3.35,Oxford University Press,Paperback,479,1998,1826,,2021/05/25,to-read,to-read (#50),to-read,,,,0,,,0,,,,,
13377622,"Soufi, mon amour",Elif Shafak,"Shafak, Elif",Dominique Letellier,"=""2264054069""","=""9782264054067""",5,4.13,10/18,Mass Market Paperback,480,2011,2009,2021/05/17,2021/04/03,,,read,,,,1,,,0,,,,,
40274582,American Spy,Lauren Wilkinson,"Wilkinson, Lauren",,"=""0812998952""","=""9780812998955""",0,3.52,Random House,Hardcover,292,2019,2019,,2021/05/17,to-read,to-read (#49),to-read,,,,0,,,0,,,,,
44528358,Fouloscopie: Ce que la foule dit de nous,Mehdi Moussaid,"Moussaid, Mehdi",Jacek Wozniak,"=""""","=""""",0,4.32,HumenSciences,Kindle Edition,224,2019,,,2021/05/15,to-read,to-read (#48),to-read,,,,0,,,0,,,,,
149267,The Stand,Stephen King,"King, Stephen",Bernie Wrightson,"=""0385199570""","=""9780385199575""",0,4.33,Doubleday Books,Hardcover,1152,1990,1978,,2021/05/05,to-read,to-read (#47),to-read,,,,0,,,0,,,,,
6288,The Road,Cormac McCarthy,"McCarthy, Cormac",,"=""0307265439""","=""9780307265432""",0,3.97,Alfred A. Knopf,Hardcover,241,2006,2006,,2021/05/05,to-read,to-read (#46),to-read,,,,0,,,0,,,,,
492109,Black Macho and the Myth of the Superwoman,Michele Wallace,"Wallace, Michele",,"=""1859842968""","=""9781859842966""",0,4.11,Verso,Paperback,268,1999,1978,,2021/05/05,to-read,to-read (#45),to-read,,,,0,,,0,,,,,
10288719,Les Iks : Survivre par la cruauté Nord Ouganda,Colin M. Turnbull,"Turnbull, Colin M.",,"=""2266035029""","=""9782266035026""",4,4.33,Presses Pocket,Mass Market Paperback,361,1987,1987,2021/04/28,2021/04/28,,,read,,,,1,,,0,,,,,
54627094,Douces déroutes,Yanick Lahens,"Lahens, Yanick",,"=""2757873962""","=""9782757873960""",0,3.06,,Mass Market Paperback,,2019,2018,,2021/02/06,to-read,to-read (#37),to-read,,,,0,,,0,,,,,
49528624,Nuit d'épine,Christiane Taubira,"Taubira, Christiane",,"=""""","=""""",0,3.89,Plon,Kindle Edition,239,2019,2019,,2021/04/12,currently-reading,currently-reading (#6),currently-reading,,,,1,,,0,,,,,
48892244,un(e) secte,Maxime Chattam,"Chattam, Maxime",,"=""2226319492""","=""""",4,3.76,,,,,,2021/04/12,2021/04/03,,,read,,,,1,,,0,,,,,
34466958,Bullshit Jobs: A Theory,David Graeber,"Graeber, David",,"=""150114331X""","=""9781501143311""",0,4.01,Simon & Schuster,Hardcover,335,2018,2018,,2021/04/04,to-read,to-read (#44),to-read,,,,0,,,0,,,,,
256056,Une si longue lettre,Mariama Bâ,"Bâ, Mariama",,"=""2842612892""","=""9782842612894""",4,3.96,Alphee Editions,Paperback,164,2005,1980,2021/04/03,2021/03/30,,,read,,,,1,,,0,,,,,
41459037,The Lesson,Cadwell Turnbull,"Turnbull, Cadwell",,"=""1538584646""","=""9781538584644""",4,3.59,Blackstone Publishing,Hardcover,286,2019,2019,2021/03/30,2021/03/23,,,read,,,,1,,,0,,,,,
7500150,The Long Song,Andrea Levy,"Levy, Andrea",,"=""0374192170""","=""9780374192174""",0,3.74,"Farrar, Straus and Giroux",Hardcover,320,2010,2010,,2021/02/08,currently-reading,currently-reading (#5),currently-reading,,,,1,,,0,,,,,
443565,Écrire en pays dominé,Patrick Chamoiseau,"Chamoiseau, Patrick",,"=""2070422178""","=""9782070422173""",0,4.00,Gallimard Education,Paperback,349,2002,2002,,2019/12/27,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,
36039974,De l'égalité des races humaines : (Complet et intégrale),Anténor Firmin,"Firmin, Anténor",,"=""""","=""""",0,4.65,,Kindle Edition,509,2017,1885,,2019/12/27,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
4936789,Les Affres D'un Défi,Frankétienne,"Frankétienne, Frankétienne",,"=""2858935149""","=""9782858935147""",0,3.50,J.-M. Place,,212,2000,2000,,2021/01/03,currently-reading,currently-reading (#4),currently-reading,,,,1,,,0,,,,,
6149,Beloved,Toni Morrison,"Morrison, Toni",,"=""1400033411""","=""9781400033416""",4,3.90,Vintage,Paperback,324,2004,1987,2021/03/24,2021/03/24,,,read,,,,1,,,0,,,,,
89526,"I, Tituba, Black Witch of Salem",Maryse Condé,"Condé, Maryse","Richard Philcox, Angela Y. Davis","=""0345384202""","=""9780345384201""",4,4.03,Ballantine Books,Paperback,225,1994,1986,2021/03/10,2021/03/07,,,read,,,,1,,,0,,,,,
96024,All Souls' Rising,Madison Smartt Bell,"Bell, Madison Smartt",,"=""1400076536""","=""9781400076536""",0,4.00,Vintage,Paperback,530,2004,1995,,2021/03/03,to-read,to-read (#43),to-read,,,,0,,,0,,,,,
253703,Feeding the Ghosts,Fred D'Aguiar,"D'Aguiar, Fred",,"=""0060955937""","=""9780060955939""",0,3.75,Ecco Press,Paperback,244,2000,1997,,2021/02/25,to-read,to-read (#42),to-read,,,,0,,,0,,,,,
31115,The Farming of Bones,Edwidge Danticat,"Danticat, Edwidge",,"=""0140280499""","=""9780140280494""",4,4.08,Penguin Books,Paperback,312,1999,1998,2021/02/25,2021/02/08,,,read,,,,1,,,0,,,,,
50384125,Rivage de la colère,Caroline Laurent,"Laurent, Caroline",,"=""2365694020""","=""9782365694025""",5,4.35,Les Escales,Paperback,,2020,,2021/02/18,2021/02/16,,,read,,,,1,,,0,,,,,
4682558,The Book of Night Women,Marlon James,"James, Marlon",,"=""1594488576""","=""9781594488573""",5,4.38,Riverhead Books,Hardcover,417,2009,2009,2021/02/14,2021/02/08,,,read,,,,1,,,0,,,,,
44001,Small Island,Andrea Levy,"Levy, Andrea",,"=""0312424671""","=""9780312424671""",0,3.98,Picador USA,Paperback,441,2005,2004,,2021/02/08,to-read,to-read (#41),to-read,,,,0,,,0,,,,,
600404,Krik? Krak!,Edwidge Danticat,"Danticat, Edwidge",,"=""067976657X""","=""9780679766575""",0,4.14,Vintage,Paperback,224,1996,1996,,2021/02/08,to-read,to-read (#40),to-read,,,,0,,,0,,,,,
11535502,Ayiti,Roxane Gay,"Gay, Roxane",,"=""145077671X""","=""9781450776714""",4,4.29,Artistically Declined Press,Paperback,121,2011,2011,2021/02/08,2021/02/06,,,read,,,,1,,,0,,,,,
50884289,La Fabrique du crétin digital,Michel Desmurget,"Desmurget, Michel",,"=""""","=""""",0,4.10,Le Seuil,Kindle Edition,412,2019,2019,,2021/02/08,to-read,to-read (#38),to-read,,,,0,,,0,,,,,
6693201,La couleur de l'aube,Yanick Lahens,"Lahens, Yanick",,"=""2848050632""","=""9782848050638""",0,3.75,Wespieser,Paperback,218,2008,2008,,2021/02/06,to-read,to-read (#36),to-read,,,,0,,,0,,,,,
23265695,Bain de lune,Yanick Lahens,"Lahens, Yanick",,"=""2848051175""","=""9782848051178""",5,3.44,Sabine Wespeiser,Paperback,273,2014,2014,2021/02/06,2021/01/30,,,read,,,,1,,,0,,,,,
35407604,Sugar: The World Corrupted: From Slavery to Obesity,James Walvin,"Walvin, James",,"=""1681776774""","=""9781681776774""",5,3.43,Pegasus Books,Hardcover,352,2018,2017,2021/02/04,2021/01/30,,,read,,,,1,,,0,,,,,
43554618,"Plus jamais esclaves ! De l’insoumission à la révolte, le grand récit d’une émancipation (1492-1838)",Aline Helg,"Helg, Aline",,"=""""","=""9782707188656""",0,4.00,La découverte,,422,2016,,,2021/02/03,to-read,to-read (#35),to-read,,,,0,,,0,,,,,
56281989,"Histoire du sucre, histoire du monde",James Walvin,"Walvin, James",Philippe Pignarre,"=""""","=""""",0,0.0,,Kindle Edition,,2020,,,2021/01/30,to-read,to-read (#34),to-read,,,,0,,,0,,,,,
2739814,La Panse du chacal,Raphaël Confiant,"Confiant, Raphaël",,"=""2070300579""","=""9782070300570""",4,3.47,Folio,Paperback,375,2005,2004,2021/01/30,2021/01/30,,,read,,,,1,,,0,,,,,
20695409,L'an V de la révolution algérienne,Frantz Fanon,"Fanon, Frantz",,"=""2707167630""","=""9782707167637""",4,4.17,La découverte,Paperback,182,2011,1959,,2021/01/27,,,read,,,,1,,,0,,,,,
35486083,L'art subtil de s'en foutre: Un guide à contre-courant pour être soi-même,Mark Manson,"Manson, Mark",,"=""""","=""""",4,3.92,Eyrolles,Kindle Edition,188,2017,2016,2021/01/03,2021/01/03,,,read,,,,1,,,0,,,,,
49461566,Un rien peut tout changer,James Clear,"Clear, James",,"=""""","=""""",0,4.36,Larousse,Kindle Edition,321,2019,2018,,2021/01/26,to-read,to-read (#33),to-read,,,,0,,,0,,,,,
250792,Ain't I a Woman: Black Women and Feminism,bell hooks,"hooks, bell",,"=""089608129X""","=""9780896081291""",5,4.45,South End Press,Paperback,205,1999,1981,2021/01/26,2020/12/13,,,read,,,,1,,,0,,,,,
256387,"Moi, Tituba sorcière...",Maryse Condé,"Condé, Maryse",,"=""2070379299""","=""9782070379293""",0,4.03,Folio,Mass Market Paperback,288,1988,1986,,2021/01/21,to-read,to-read (#32),to-read,,,,0,,,0,,,,,
33606119,Why I'm No Longer Talking to White People About Race,Reni Eddo-Lodge,"Eddo-Lodge, Reni",,"=""140887055X""","=""9781408870556""",4,4.38,Bloomsbury Circus,Hardcover,249,2017,2017,2021/01/19,2020/12/27,,,read,,,,1,,,0,,,,,
28098492,Madame St-Clair. Reine de Harlem (Littérature générale),Raphaël Confiant,"Confiant, Raphaël",,"=""""","=""""",5,3.57,Editions du Mercure de France,Kindle Edition,336,2015,2015,2021/01/13,2021/01/07,,,read,,,,1,,,0,,,,,
29780253,Born a Crime: Stories From a South African Childhood,Trevor Noah,"Noah, Trevor",,"=""0385689225""","=""9780385689229""",5,4.45,Doubleday Canada,Hardcover,289,2016,2016,2020/12/27,2020/07/07,,,read,,,,1,,,0,,,,,
44072352,Un féminisme décolonial,Françoise Vergès,"Vergès, Françoise",,"=""2358721743""","=""9782358721745""",5,4.41,La Fabrique,Paperback,208,2019,2019,2020/12/20,2020/12/17,,,read,,,,1,,,0,,,,,
13576166,Lettres à une noire : récit antillais,Françoise Ega,"Ega, Françoise",,"=""285802071X""","=""9782858020713""",0,4.54,L'harmattan,Paperback,226,1978,1978,,2020/12/20,to-read,to-read (#31),to-read,,,,0,,,0,,,,,
40265832,How to Be an Antiracist,Ibram X. Kendi,"Kendi, Ibram X.",,"=""0525509283""","=""9780525509288""",0,4.37,One World,Hardcover,320,2019,2019,,2020/12/13,to-read,to-read (#30),to-read,,,,0,,,0,,,,,
318742,The Souls of Black Folk,W.E.B. Du Bois,"Bois, W.E.B. Du","Donald B. Gibson, Monica W. Elbert","=""""","=""""",0,4.28,Penguin Classics,Paperback,288,1996,1903,,2020/12/13,to-read,to-read (#29),to-read,,,,0,,,0,,,,,
15796700,Americanah,Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",Jashar Awan,"=""""","=""""",5,4.30,Alfred A. Knopf,Hardcover,477,2013,2013,2020/12/10,2020/12/04,,,read,,,,1,,,0,,,,,
3181472,Compère général soleil,Jacques Stephen Alexis,"Alexis, Jacques Stephen",,"=""2070287300""","=""9782070287307""",0,4.17,Editions Gallimard,Paperback,350,1982,1955,,2020/08/11,to-read,to-read (#28),to-read,,,,0,,,0,,,,,
1670818,The Heart of the 5 Love Languages,Gary Chapman,"Chapman, Gary",,"=""1881273806""","=""9781881273806""",4,4.32,Northfield Publishing,Hardcover,80,2008,2008,2020/11/18,2020/11/18,,,read,,,,1,,,0,,,,,
33395557,"For We Are Many (Bobiverse, #2)",Dennis E. Taylor,"Taylor, Dennis E.",Ray Porter,"=""""","=""""",5,4.36,Audible Studios,Paperback,320,2017,2017,2020/11/15,2020/11/14,,,read,,,,1,,,0,,,,,
632416,Le Meilleur des mondes,Aldous Huxley,"Huxley, Aldous",Jules Castier,"=""2266128566""","=""9782266128568""",3,3.99,Pocket,Mass Market Paperback,285,2002,1932,2020/11/11,2020/11/07,,,read,,,,1,,,0,,,,,
394057,Un sac de billes,Joseph Joffo,"Joffo, Joseph",,"=""2253029491""","=""9782253029496""",5,3.97,Le Livre de Poche,Mass Market Paperback,284,1982,1973,,2020/11/05,,,read,,,,1,,,0,,,,,
325785,"Capital, Vol. 1: A Critical Analysis of Capitalist Production",Karl Marx,"Marx, Karl","Ernest Mandel, Ben Fowkes","=""0140445684""","=""9780140445688""",0,4.24,Penguin Classics,Paperback,1152,1990,1867,,2020/11/05,to-read,to-read (#27),to-read,,,,0,,,0,,,,,
1032151,La Ferme des animaux,George Orwell,"Orwell, George",Jean Queval,"=""2070375161""","=""9782070375165""",4,3.96,Gallimard,Mass Market Paperback,158,1984,1945,2020/11/05,2020/11/05,,,read,,,,1,,,0,,,,,
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",4,4.19,Houghton Mifflin Harcourt,Kindle Edition,298,2013,1949,2020/11/04,2020/11/04,,,read,,,,1,,,0,,,,,
7379502,Le manifeste du Parti communiste/Les luttes de classes en France,Karl Marx,"Marx, Karl",,"=""2264008407""","=""9782264008404""",4,3.61,,,188,1991,,2020/10/30,2020/10/30,,,read,,,,1,,,0,,,,,
402093,"Shōgun (Asian Saga, #1)",James Clavell,"Clavell, James",,"=""""","=""""",5,4.39,Dell,Paperback,1152,2009,1975,2020/10/29,2020/09/05,,,read,,,,1,,,0,,,,,
40141108,Batouala; Veritable Roman Negre,René Maran,"Maran, René",,"=""1314136488""","=""9781314136487""",5,3.39,Hardpress Publishing,Paperback,204,2013,1921,,2020/06/01,,,read,,,,1,,,0,,,,,
40068472,L'autre citoyen: L'idéal républicain et les Antilles après l'esclavage (Le temps des idées),Silyane Larcher,"Larcher, Silyane",,"=""""","=""""",5,5.00,Armand Colin,Kindle Edition,386,2014,,2020/09/21,2020/08/13,,,read,,,,1,,,0,,,,,
35298068,Rapatriés (Cadre rouge),Néhémy Pierre-Dahomey,"Pierre-Dahomey, Néhémy",,"=""""","=""""",3,3.62,Le Seuil,Kindle Edition,192,2017,,2020/09/06,2020/08/27,,,read,,,,1,,,0,,,,,
41215388,Frère d'âme,David Diop,"Diop, David",,"=""2021398242""","=""9782021398243""",3,3.89,SEUIL,Paperback,176,2018,2018,2020/08/11,2020/08/09,,,read,,,,1,,,0,,,,,
25913856,"Papa, est-ce que je peux venir mourir à la maison?",Tony Delsham,"Delsham, Tony",,"=""2950844944""","=""9782950844941""",0,4.00,Editions M.G.G.,Paperback,153,1997,1997,,2020/08/11,to-read,to-read (#26),to-read,,,,0,,,0,,,,,
220362,Manon des sources,Marcel Pagnol,"Pagnol, Marcel",,"=""287706512X""","=""9782877065122""",4,4.18,De Fallois,Mass Market Paperback,285,2004,1962,,2020/08/11,,,read,,,,1,,,0,,,,,
808627,"Le château de ma mère (Souvenirs d'enfance, #2)",Marcel Pagnol,"Pagnol, Marcel",,"=""2877060519""","=""9782877060516""",4,4.09,Editions de Fallois,Paperback,221,1988,1957,,2020/08/11,,,read,,,,1,,,0,,,,,
220334,La Gloire de mon père,Marcel Pagnol,"Pagnol, Marcel",,"=""2877065073""","=""9782877065078""",5,4.01,Editions de Fallois,Mass Market Paperback,216,2004,1957,,2020/08/11,,,read,,,,1,,,0,,,,,
437248,L'Odeur du café,Dany Laferrière,"Laferrière, Dany",,"=""2842612825""","=""9782842612825""",5,3.81,Motifs,Mass Market Paperback,226,2001,1991,,2020/08/11,,,read,,,,1,,,0,,,,,
814281,La Rue Cases Negres: Du Roman Au Film:  Etude Comparative (Critiques Litteraires) (French Edition),Sylvie César,"César, Sylvie",,"=""273842399X""","=""9782738423993""",0,5.00,,,,,,,2020/08/11,,,read,,,,1,,,0,,,,,
18749,Half of a Yellow Sun,Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",,"=""1400044162""","=""9781400044160""",5,4.30,Knopf,Hardcover,433,2006,2006,2020/08/09,2020/06/04,,,read,,,,1,,,0,,,,,
39717491,"La prochaine fois, le feu",James Baldwin,"Baldwin, James",,"=""2072786207""","=""9782072786204""",4,4.50,Folio,Mass Market Paperback,137,2018,1963,2020/08/05,2020/08/03,,,read,,,,1,,,0,,,,,
818709,"Women, Culture, and Politics",Angela Y. Davis,"Davis, Angela Y.",,"=""0679724877""","=""9780679724872""",0,4.38,Vintage,Paperback,258,1990,1989,,2020/07/15,to-read,to-read (#25),to-read,,,,0,,,0,,,,,
43798285,The Institute,Stephen King,"King, Stephen",,"=""""","=""""",0,4.20,Scribner,Hardcover,561,2019,2019,,2020/07/15,to-read,to-read (#24),to-read,,,,0,,,0,,,,,
190464,The Black Atlantic: Modernity and Double-Consciousness,Paul Gilroy,"Gilroy, Paul",,"=""0674076060""","=""9780674076068""",0,4.04,Harvard University Press,Paperback,280,1995,1993,,2020/07/14,to-read,to-read (#23),to-read,,,,0,,,0,,,,,
353598,"Black Feminist Thought: Knowledge, Consciousness, and the Politics of Empowerment",Patricia Hill Collins,"Collins, Patricia Hill",,"=""0415924847""","=""9780415924849""",0,4.39,Routledge,Paperback,336,1999,1990,,2020/07/14,to-read,to-read (#22),to-read,,,,0,,,0,,,,,
229001,Novel Without a Name,Dương Thu Hương,"Hương, Dương Thu","Nina McPherson, Phan Huy Đường","=""0140255109""","=""9780140255102""",0,3.80,Penguin Books,Paperback,289,1995,1991,,2020/07/14,to-read,to-read (#21),to-read,,,,0,,,0,,,,,
813214,The Mist,Stephen King,"King, Stephen",,"=""""","=""""",4,3.95,Signet,Paperback,230,2007,1980,2020/07/08,2020/06/01,,,read,,,,1,,,0,,,,,
714902,"Noughts & Crosses (Noughts & Crosses, #1)",Malorie Blackman,"Blackman, Malorie",,"=""0552555703""","=""9780552555708""",0,4.22,Corgi Childrens,Paperback,479,2006,2001,,2020/07/03,to-read,to-read (#20),to-read,,,,0,,,0,,,,,
780889,The Sorrow Of War: A Novel of North Vietnam,Bảo Ninh,"Ninh, Bảo","Phan Thanh Hảo, Frank Palmos","=""1573225436""","=""9781573225434""",3,4.01,Riverhead Books/The Berkley Publishing Group/Penguin Putnam Inc.,Paperback,233,1996,1987,2020/07/01,2020/06/14,,,read,,,,1,,,0,,,,,
14617003,Dynamic Prediction in Clinical Survival Analysis,Hans Van Houwelingen,"Houwelingen, Hans Van","Hein Putter, J. C. Van Houwelingen","=""1439835330""","=""9781439835333""",0,0.0,CRC Press,Hardcover,250,2011,2011,,2020/06/16,to-read,to-read (#19),to-read,,,,0,,,0,,,,,
18724829,Joint Models for Longitudinal and Time-To-Event Data: With Applications in R,Dimitris Rizopoulos,"Rizopoulos, Dimitris",,"=""1299992692""","=""9781299992696""",5,4.75,CRC Press,ebook,274,2013,2012,2020/06/16,2020/06/12,,,read,,,,1,,,0,,,,,
2719,The Book of Salt,Monique Truong,"Truong, Monique",,"=""0618446885""","=""9780618446889""",0,3.52,Mariner Books,Paperback,261,2004,2003,,2020/06/14,to-read,to-read (#18),to-read,,,,0,,,0,,,,,
41398025,The Farm,Joanne Ramos,"Ramos, Joanne",,"=""1984853759""","=""9781984853752""",0,3.50,Random House,Hardcover,327,2019,2019,,2020/06/13,to-read,to-read (#17),to-read,,,,0,,,0,,,,,
32109569,"We Are Legion (We Are Bob) (Bobiverse, #1)",Dennis E. Taylor,"Taylor, Dennis E.",,"=""""","=""""",5,4.27,Worldbuilders Press,Kindle Edition,383,2016,2016,2020/06/12,2020/06/06,,,read,,,,1,,,0,,,,,
30811071,La violation d'un pays : Et autres écrits anticolonialistes,Lamine Senghor,"Senghor, Lamine","David Murphy, Paul Vaillant-Couturier","=""2336002280""","=""9782336002286""",0,4.00,Editions L'Harmattan,Paperback,,2012,,,2020/06/10,to-read,to-read (#16),to-read,,,,0,,,0,,,,,
44231714,Chroniques d'un enfant du pays,James Baldwin,"Baldwin, James",Marie Darrieussecq,"=""2072796830""","=""9782072796838""",0,4.37,Gallimard,Paperback,224,2019,1955,,2020/06/10,to-read,to-read (#15),to-read,,,,0,,,0,,,,,
1440929,La Clarté de la lune,Lian Hearn,"Hearn, Lian",Philippe Giraudon,"=""2070426556""","=""9782070426553""",0,4.06,Folio,Mass Market Paperback,434,2005,2004,,2020/06/06,to-read,to-read (#14),to-read,,,,0,,,0,,,,,
1129160,Les Neiges de l'exil,Lian Hearn,"Hearn, Lian",Philippe Giraudon,"=""2070300315""","=""9782070300310""",0,4.03,Folio,Mass Market Paperback,385,2004,2003,,2020/06/06,to-read,to-read (#13),to-read,,,,0,,,0,,,,,
